Date,RegionName,AreaCode,AveragePrice,Index,IndexSA,1m%Change,12m%Change,AveragePriceSA,SalesVolume,DetachedPrice,DetachedIndex,Detached1m%Change,Detached12m%Change,SemiDetachedPrice,SemiDetachedIndex,SemiDetached1m%Change,SemiDetached12m%Change,TerracedPrice,TerracedIndex,Terraced1m%Change,Terraced12m%Change,FlatPrice,FlatIndex,Flat1m%Change,Flat12m%Change,CashPrice,CashIndex,Cash1m%Change,Cash12m%Change,CashSalesVolume,MortgagePrice,MortgageIndex,Mortgage1m%Change,Mortgage12m%Change,MortgageSalesVolume,FTBPrice,FTBIndex,FTB1m%Change,FTB12m%Change,FOOPrice,FOOIndex,FOO1m%Change,FOO12m%Change,NewPrice,NewIndex,New1m%Change,New12m%Change,NewSalesVolume,OldPrice,OldIndex,Old1m%Change,Old12m%Change,OldSalesVolume
01/01/2006,Bolton,E08000001,110527,60.5,,1,9,,290,200599,58.5,1,6.4,116804,59,0.9,7.9,89451,60.2,1,10.6,80258,71.8,0.9,7.9,,,,,,,,,,,,,,,,,,,167567,63.7,1,10.8,30,108737,60.1,1,8.9,260
01/02/2006,Bolton,E08000001,108674,59.5,,-1.7,6.7,,319,196378,57.3,-2.1,3.7,114588,57.9,-1.9,5.3,88085,59.3,-1.5,8.5,79355,71,-1.1,6.2,,,,,,,,,,,,,,,,,,,165641,63,-1.1,7.7,22,106857,59.1,-1.7,6.7,297
01/03/2006,Bolton,E08000001,107797,59,,-0.8,6.3,,427,195271,56.9,-0.6,3.3,113789,57.5,-0.7,4.9,87355,58.8,-0.8,8.1,78238,70,-1.4,5.6,,,,,,,,,,,,,,,,,,,164164,62.4,-0.9,6.4,31,106005,58.6,-0.8,6.3,396
01/04/2006,Bolton,E08000001,108203,59.2,,0.4,6.1,,351,194827,56.8,-0.2,3.1,114243,57.7,0.4,4.5,87845,59.1,0.6,7.9,78469,70.2,0.3,5.6,,,,,,,,,,,,,,,,,,,164891,62.7,0.4,5.9,11,106397,58.8,0.4,6.1,340
01/05/2006,Bolton,E08000001,111163,60.9,,2.7,8.3,,480,200092,58.3,2.7,5.6,117491,59.3,2.8,7.1,90271,60.8,2.8,9.9,80277,71.8,2.3,7.7,,,,,,,,,,,,,,,,,,,168446,64,2.2,7.8,29,109371,60.4,2.8,8.4,451
01/06/2006,Bolton,E08000001,113672,62.2,,2.3,9,,497,203728,59.4,1.8,6.7,120078,60.6,2.2,7.9,92459,62.2,2.4,10.4,82081,73.4,2.2,8.3,,,,,,,,,,,,,,,,,,,171515,65.2,1.8,8.4,72,111887,61.8,2.3,9.1,425
01/07/2006,Bolton,E08000001,115585,63.3,,1.7,9.6,,459,207311,60.4,1.8,7.5,121901,61.6,1.5,8.4,94176,63.4,1.9,11.1,83036,74.3,1.2,8.7,,,,,,,,,,,,,,,,,,,173081,65.8,0.9,8.8,30,113859,62.9,1.8,9.7,429
01/08/2006,Bolton,E08000001,117089,64.1,,1.3,9.8,,511,210377,61.3,1.5,8,123408,62.3,1.2,8.7,95515,64.3,1.4,11.2,83513,74.7,0.6,8.3,,,,,,,,,,,,,,,,,,,173512,65.9,0.2,8.1,54,115463,63.8,1.4,10,457
01/09/2006,Bolton,E08000001,120062,65.7,,2.5,10.3,,506,216577,63.1,2.9,8.6,126536,63.9,2.5,9.4,97935,65.9,2.5,11.6,85104,76.1,1.9,8.5,,,,,,,,,,,,,,,,,,,176998,67.3,2,8.2,63,118456,65.5,2.6,10.5,443
01/10/2006,Bolton,E08000001,120743,66.1,,0.6,11.1,,456,218214,63.6,0.8,9.7,127326,64.3,0.6,10.5,98347,66.2,0.4,12.1,85848,76.8,0.9,9.4,,,,,,,,,,,,,,,,,,,178179,67.7,0.7,8.9,34,119117,65.8,0.6,11.3,422
01/11/2006,Bolton,E08000001,120183,65.8,,-0.5,9.1,,447,217022,63.3,-0.5,7.9,126740,64,-0.5,8.6,97908,65.9,-0.4,10,85471,76.5,-0.4,7.6,,,,,,,,,,,,,,,,,,,177323,67.4,-0.5,6.8,17,118566,65.5,-0.5,9.3,430
01/12/2006,Bolton,E08000001,120067,65.7,,-0.1,9.7,,522,215510,62.8,-0.7,8.5,126428,63.8,-0.2,9.2,98007,66,0.1,10.7,85735,76.7,0.3,7.8,,,,,,,,,,,,,,,,,,,177287,67.4,0,6.8,62,118442,65.5,-0.1,10,460
01/01/2007,Bolton,E08000001,121158,66.3,,0.9,9.6,,355,217239,63.3,0.8,8.3,127470,64.4,0.8,9.1,99027,66.6,1,10.7,86292,77.2,0.6,7.5,,,,,,,,,,,,,,,,,,,178704,67.9,0.8,6.6,30,119532,66.1,0.9,9.9,325
